Order #,Order Date,Amount,Tip,Gratuity,Total,Void User,Void Approver,Void Date,Type,Receipt
2,4/10/26 5:16 PM,47.59,15.00,0.00,62.59,,,,Credit,RygTc7WkJRwPn
3,4/10/26 5:22 PM,118.86,19.78,0.00,138.64,,,,Credit,F7rTsyPFyqrrj
4,4/10/26 5:57 PM,31.91,15.00,0.00,46.91,,,,Credit,YbksFkJF9dgLm
6,4/10/26 6:13 PM,82.77,17.23,0.00,100.00,,,,Credit,7szdkwjhw97hc
5,4/10/26 6:05 PM,102.02,21.00,0.00,123.02,,,,Credit,TpxznJpmjPNWJ
5,4/10/26 6:05 PM,106.97,20.00,0.00,126.97,,,,Credit,ztLTsdxrptfhX
8,4/10/26 6:34 PM,63.30,12.00,0.00,75.30,,,,Credit,fNLyFsNgPCcKT
7,4/10/26 6:23 PM,143.46,0.00,0.00,143.46,,,,Cash,bjRCwm9PwdR7r
9,4/10/26 6:38 PM,62.85,28.00,0.00,90.85,,,,Credit,gmjykRskMbWnh
10,4/10/26 6:52 PM,28.68,6.00,0.00,34.68,,,,Credit,wPgntPp7KjsKj
13,4/10/26 7:11 PM,44.36,10.00,0.00,54.36,,,,Credit,fYLTKNpgnH7Kh
12,4/10/26 7:09 PM,148.78,20.00,0.00,168.78,,,,Credit,7Wtm9MfdhRhWn
14,4/10/26 7:14 PM,140.64,28.00,0.00,168.64,,,,Credit,djHLkqmJXXYzh
17,4/10/26 7:23 PM,77.36,22.64,0.00,100.00,,,,Credit,pFPsKbNKFKxkc
16,4/10/26 7:20 PM,101.25,20.59,0.00,121.84,,,,Credit,MXNLMHkLrfrwY
15,4/10/26 7:15 PM,38.96,0.00,0.00,38.96,,,,Cash,KNcPtTXqhrXRc
18,4/10/26 7:33 PM,72.49,10.00,0.00,82.49,,,,Credit,ywTXLgnW97Hc7
21,4/10/26 8:20 PM,106.55,0.00,0.00,106.55,"RestaurantUser [id=1300000006726987017, user email = darin.t.lance@gmail.com]","RestaurantUser [id=1300000006726987017, user email = darin.t.lance@gmail.com]",4/10/2026 8:51 PM,Cash,zsyRbrRPqHXbJ
21,4/10/26 8:20 PM,100.00,0.00,0.00,100.00,,,,Cash,qtq7fT7spw9mm
21,4/10/26 8:20 PM,6.55,40.00,0.00,46.55,,,,Credit,c79RTTcXMgPFz
19,4/10/26 7:47 PM,91.44,25.00,0.00,116.44,,,,Credit,JCg799L7wsybz
20,4/10/26 7:52 PM,57.61,12.00,0.00,69.61,,,,Credit,mxKppjrndbjd9
20,4/10/26 7:52 PM,57.61,12.00,0.00,69.61,,,,Credit,fxTMmYxqkHLjn
1,4/11/26 5:05 PM,76.16,20.00,0.00,96.16,,,,Credit,HhhyzbHytsktj
7,4/11/26 5:42 PM,92.60,0.00,0.00,92.60,,,,Credit,jLCbJNHRqT7Xq
6,4/11/26 5:39 PM,34.63,10.00,0.00,44.63,,,,Credit,hCTRwcnNfjCrn
2,4/11/26 5:09 PM,103.52,20.00,0.00,123.52,,,,Credit,HqJbkwWFshCgK
3,4/11/26 5:15 PM,119.58,26.00,0.00,145.58,,,,Credit,C7LXPNrPHfhhL
2,4/11/26 5:09 PM,28.31,0.00,0.00,28.31,,,,Cash,wbLnYrXstyWgf
4,4/11/26 5:21 PM,65.46,15.00,0.00,80.46,,,,Credit,wwJjfMpcCXRdw
5,4/11/26 5:25 PM,96.85,0.00,0.00,96.85,,,,Credit,CgLrdmHdzPprM
8,4/11/26 5:50 PM,48.70,0.00,0.00,48.70,,,,Cash,jPPz7bwwLTPMf
9,4/11/26 5:53 PM,186.09,27.00,0.00,213.09,,,,Credit,mHhsXKbsr9zqx
13,4/11/26 6:27 PM,83.24,17.00,0.00,100.24,,,,Credit,LdxprRTsJdLbx
14,4/11/26 6:52 PM,61.14,10.00,0.00,71.14,,,,Credit,sNYPgLzhJPFPw
16,4/11/26 7:06 PM,95.76,20.00,0.00,115.76,,,,Credit,KWYhNzYctHHFq
18,4/11/26 7:15 PM,94.69,18.00,0.00,112.69,,,,Credit,qsyCYFdWwPWnK
15,4/11/26 7:02 PM,89.91,20.09,0.00,110.00,,,,Credit,t9nmtffL7tshJ
26,4/11/26 8:12 PM,37.06,9.50,0.00,46.56,,,,Credit,gtpjjkcsNCgdt
17,4/11/26 7:13 PM,189.35,30.65,0.00,220.00,,,,Credit,kCjJdxtgCWnwp
20,4/11/26 7:26 PM,125.23,25.00,0.00,150.23,,,,Credit,XXCKgydHnzXCj
26,4/11/26 8:12 PM,45.98,6.85,0.00,52.83,,,,Credit,hLwjbkRW7jxmp
19,4/11/26 7:23 PM,100.63,0.00,0.00,100.63,,,,Credit,Lc7gC9Fdjrpgq
23,4/11/26 7:43 PM,54.19,8.00,0.00,62.19,,,,Credit,7XxXKjfTnLmz9
22,4/11/26 7:39 PM,148.87,5.00,27.52,181.39,,,,Credit,yCw7ph9gYdqTq
25,4/11/26 8:09 PM,82.22,13.00,0.00,95.22,,,,Credit,bXfykmbNfppbK
27,4/11/26 8:25 PM,69.78,10.00,0.00,79.78,,,,Credit,mp7CyT7qkbkWF
24,4/11/26 8:06 PM,109.28,25.00,0.00,134.28,,,,Credit,F9pyKycjJWKRd
21,4/11/26 7:31 PM,78.96,0.00,0.00,78.96,,,,Cash,tCHxnrprkJx9s
1,4/12/26 5:20 PM,33.54,6.00,0.00,39.54,,,,Credit,PX7Hjzzfh9k7Y
2,4/12/26 5:54 PM,58.44,20.00,0.00,78.44,,,,Credit,t7wFJjqz7hjYf
3,4/12/26 6:00 PM,128.14,24.14,0.00,152.28,,,,Credit,JbJkmnNkkLjHN
7,4/12/26 6:51 PM,66.53,12.30,0.00,78.83,,,,Credit,KbtzWtwhcygxh
4,4/12/26 6:27 PM,117.49,11.74,0.00,129.23,,,,Credit,jdyMYjMTwJTd7
6,4/12/26 6:45 PM,103.32,22.00,0.00,125.32,,,,Credit,cmjPNPwKFgcwg
5,4/12/26 6:33 PM,71.96,18.00,0.00,89.96,,,,Credit,tJJmWRTzRywzp
8,4/12/26 7:01 PM,72.48,5.00,13.40,90.88,,,,Credit,XJfgYRdcYhrtf
8,4/12/26 7:01 PM,182.96,0.00,33.82,216.78,,,,Credit,gKfNrPHhCTfWd
10,4/12/26 8:16 PM,157.41,40.00,0.00,197.41,,,,Credit,JgPrWnwLFqfft
11,4/12/26 8:19 PM,124.43,24.80,0.00,149.23,,,,Credit,RjzHHFNkd9fxM
1,4/13/26 5:50 PM,59.52,0.00,0.00,59.52,,,,Credit,KYfcgdFtnTcC7
2,4/13/26 6:50 PM,96.85,20.00,0.00,116.85,,,,Credit,fqNhJhgcRzCsT
1,4/14/26 5:09 PM,56.81,10.50,0.00,67.31,,,,Credit,zdggdjFqsTsby
1,4/14/26 5:09 PM,62.21,11.50,0.00,73.71,,,,Credit,RMnTMFxsRfcJq
2,4/14/26 5:21 PM,34.63,7.00,0.00,41.63,,,,Credit,JHmCRFbyzrsgY
2,4/14/26 5:21 PM,47.62,10.00,0.00,57.62,,,,Credit,JkFLKdfrwgbKT
4,4/14/26 6:10 PM,117.41,25.00,0.00,142.41,,,,Credit,K9RpPdCTmzRRx
5,4/14/26 6:31 PM,28.14,10.00,0.00,38.14,,,,Credit,HsyYtYdznqbLd
7,4/14/26 7:04 PM,38.51,7.00,0.00,45.51,,,,Credit,tYsNpPymLwm7t
9,4/14/26 7:22 PM,48.70,11.30,0.00,60.00,,,,Credit,Lyw7shMWyqKNr
8,4/14/26 7:17 PM,100.06,0.00,0.00,100.06,,,,Credit,XkTJXpXyHmf9q
10,4/14/26 7:26 PM,69.25,0.00,0.00,69.25,,,,Credit,dzhykbYqN9htY
1,4/15/26 5:04 PM,174.72,30.00,0.00,204.72,,,,Credit,dYrfNXRJLPstC
2,4/15/26 5:34 PM,84.95,17.00,0.00,101.95,,,,Credit,xcKrLbxRjcFXp
3,4/15/26 5:56 PM,89.25,20.00,0.00,109.25,,,,Credit,MYFdHryRjRdKJ
6,4/15/26 6:19 PM,47.06,15.00,0.00,62.06,,,,Credit,bTWHnLmrtkFdH
4,4/15/26 6:00 PM,48.70,0.00,0.00,48.70,,,,Credit,RP7qpPhYqNHrd
5,4/15/26 6:16 PM,38.94,7.00,0.00,45.94,,,,Credit,YwKrLdJTMYrjm
5,4/15/26 6:16 PM,62.73,10.00,0.00,72.73,,,,Credit,9yW99LcfbbPb9
7,4/15/26 6:41 PM,70.00,14.00,0.00,84.00,,,,Credit,bNttwqxLYPJbJ
9,4/15/26 7:38 PM,38.46,8.00,0.00,46.46,,,,Credit,qtjbsbP7nC9gt
10,4/15/26 7:52 PM,66.27,20.00,0.00,86.27,,,,Credit,7rcnTYWnNKWqb
10,4/15/26 7:52 PM,66.27,20.00,0.00,86.27,,,,Credit,Tynjf9FzWhMNx
1,4/16/26 5:35 PM,72.49,15.00,0.00,87.49,,,,Credit,qmJwm7wKL9fFc
2,4/16/26 5:56 PM,62.22,12.00,0.00,74.22,,,,Credit,pWwHYxxRWbHtX
3,4/16/26 6:07 PM,49.77,10.00,0.00,59.77,,,,Credit,jHTtF9YqYgCrm
4,4/16/26 6:09 PM,56.26,20.00,0.00,76.26,,,,Credit,qnXpTFgLYxRqr
5,4/16/26 6:10 PM,45.43,25.00,0.00,70.43,,,,Credit,YzrPMsHJnzzxR
6,4/16/26 6:48 PM,22.72,1.00,4.20,27.92,,,,Credit,nTqqYrgskkRxC
6,4/16/26 6:48 PM,20.55,10.00,3.80,34.35,,,,Credit,xXKT9zbHzrhLh
6,4/16/26 6:48 PM,16.88,14.00,3.12,34.00,,,,Credit,qNzKRp9TsyMrL
6,4/16/26 6:48 PM,99.44,0.00,18.38,117.82,,,,Credit,WJggkKtLcNxb9
6,4/16/26 6:48 PM,48.14,7.00,8.90,64.04,,,,Credit,7fbpjqXgprscf
6,4/16/26 6:48 PM,22.72,0.00,4.20,26.92,,,,Credit,gcnnmWwsJzmNY
1,4/17/26 5:36 PM,5.00,5.00,0.00,10.00,,,,Credit,HFRMhCyNzrx9q
3,4/17/26 5:52 PM,42.20,8.00,0.00,50.20,,,,Credit,XYpcnMdjzYwhk
2,4/17/26 5:40 PM,125.75,0.00,0.00,125.75,,,,Cash,fbdMLzrgzzcFW
4,4/17/26 5:53 PM,82.24,24.76,0.00,107.00,,,,Credit,NJLhwcKcJfNft
6,4/17/26 6:17 PM,103.84,26.00,0.00,129.84,,,,Credit,LxjFPkrLHkzbF
5,4/17/26 6:11 PM,51.93,12.93,0.00,64.86,,,,Credit,NmMbYs9X7Tncj
8,4/17/26 7:18 PM,143.92,30.00,0.00,173.92,,,,Credit,PrqcwyyX7szHw
9,4/17/26 7:25 PM,188.36,40.00,0.00,228.36,,,,Credit,gTscJHfkWbcsp
11,4/17/26 7:37 PM,85.56,19.00,0.00,104.56,,,,Credit,wbqjjLMNjwsnz
10,4/17/26 7:32 PM,82.86,14.00,0.00,96.86,,,,Credit,PYHC9qfdCdnxs
12,4/17/26 8:28 PM,95.32,17.00,0.00,112.32,,,,Credit,x7bmJTKtCkKHr
1,4/17/26 5:36 PM,12.32,0.00,0.00,12.32,,,,Cash,TFMMWMb9bXgmF
4,4/18/26 5:13 PM,4.87,1.00,0.00,5.87,,,,Credit,PffCx7NRktqWr
3,4/18/26 5:11 PM,59.51,15.00,0.00,74.51,,,,Credit,d7RmHwcPrYCYx
1,4/18/26 5:06 PM,100.07,20.00,0.00,120.07,,,,Credit,ykgNPdMWMfTcF
2,4/18/26 5:08 PM,74.11,11.00,0.00,85.11,,,,Credit,RqwqyHyjnCkKT
5,4/18/26 5:15 PM,148.26,0.00,27.40,175.66,,,,Credit,P9rJW9xR9hrKY
7,4/18/26 6:03 PM,100.65,0.00,0.00,100.65,,,,Credit,JwMdXcyrRTPkk
6,4/18/26 5:46 PM,304.13,61.84,56.22,422.19,,,,Credit,NcszpnqfgJxqz
8,4/18/26 6:10 PM,150.43,5.00,27.80,183.23,,,,Credit,KPj9qRCnTPnnw
10,4/18/26 6:39 PM,117.41,15.00,0.00,132.41,,,,Credit,JwnHkRTXdg7h7
13,4/18/26 6:58 PM,68.89,0.00,0.00,68.89,,,,Cash,TmyygPmnhYwMH
11,4/18/26 6:50 PM,86.01,24.00,0.00,110.01,,,,Credit,CcxmxFJFrqFWT
12,4/18/26 6:52 PM,187.39,40.00,0.00,227.39,,,,Credit,77TgnJddFkgqs
9,4/18/26 6:34 PM,50.31,0.00,0.00,50.31,,,,Cash,ygLPypKmkRPzF
17,4/18/26 7:30 PM,89.81,20.00,0.00,109.81,,,,Credit,pFHfnWbdJy7Fj
16,4/18/26 7:29 PM,66.10,0.00,0.00,66.10,,,,Credit,RXRgc9LFjdLJN
18,4/18/26 7:32 PM,100.18,30.00,0.00,130.18,,,,Credit,fyCJ9rYjcg7zn
14,4/18/26 7:10 PM,121.79,22.21,0.00,144.00,,,,Credit,mpMfY9NfsfPYs
20,4/18/26 7:58 PM,90.41,14.59,0.00,105.00,,,,Credit,tpnhdzLgTddzL
19,4/18/26 7:52 PM,178.78,40.00,0.00,218.78,,,,Credit,Y9HkgLXTxhNRj
21,4/18/26 8:01 PM,85.50,15.00,0.00,100.50,,,,Credit,KWqwcqwRcCmt7
22,4/18/26 8:09 PM,109.06,30.00,0.00,139.06,,,,Credit,kmmcsKNYzTnKX
1,4/19/26 5:43 PM,67.16,13.66,0.00,80.82,,,,Credit,frYhMbFCfyWK7
2,4/19/26 6:07 PM,65.48,12.00,0.00,77.48,,,,Credit,zLpTxzfhMHPqn
3,4/19/26 7:10 PM,73.91,14.00,0.00,87.91,,,,Credit,kgJfCY77dK7Tf
4,4/19/26 7:15 PM,23.35,6.65,0.00,30.00,,,,Credit,YngrkRgPxMgjm
4,4/19/26 7:15 PM,50.93,10.00,0.00,60.93,,,,Credit,kkqdRFtPKmpFn
4,4/19/26 7:15 PM,29.08,7.00,0.00,36.08,,,,Credit,dY9mn79xhtcsk
5,4/19/26 7:29 PM,36.01,7.00,0.00,43.01,,,,Credit,9c7xPXJYJXwkH
3,4/20/26 5:33 PM,27.02,3.00,0.00,30.02,,,,Credit,CxJFnLWTHjyYk
1,4/20/26 5:08 PM,195.23,20.00,0.00,215.23,,,,Credit,wCRmdfCzmYKMP
2,4/20/26 5:17 PM,80.63,20.00,0.00,100.63,,,,Credit,hpmbhryCzgk9f
2,4/20/26 5:17 PM,62.23,13.00,0.00,75.23,,,,Credit,YnXP77syynymz
6,4/20/26 6:40 PM,92.48,0.00,0.00,92.48,,,,Credit,X7ncNjFCynHtF
6,4/20/26 6:40 PM,92.48,10.00,0.00,102.48,,,,Credit,Kt7yFzTL9FHRq
5,4/20/26 6:29 PM,75.75,14.00,0.00,89.75,,,,Credit,wXcrsmLbhWqCN
8,4/20/26 6:52 PM,87.66,18.00,0.00,105.66,,,,Credit,CNjsfRkkjYqLd
7,4/20/26 6:41 PM,35.71,0.00,0.00,35.71,,,,Cash,WHjrxWbrCLtty
1,4/21/26 5:55 PM,90.35,25.00,0.00,115.35,,,,Credit,rmbjdFmrqbNqN
2,4/21/26 6:19 PM,74.73,15.00,0.00,89.73,,,,Credit,ptP9HFqntdHq9
1,4/22/26 5:37 PM,213.49,38.00,39.47,290.96,,,,Credit,gqytmWTXxYzc7
2,4/22/26 5:39 PM,51.41,0.00,0.00,51.41,,,,Credit,9bfKYsdwWWFgm
2,4/22/26 5:39 PM,6.47,10.00,0.00,16.47,,,,Credit,TyHcTj79tzwPY
3,4/22/26 5:54 PM,55.89,10.11,0.00,66.00,,,,Credit,Yqmn7kPNXPM7p
5,4/22/26 6:27 PM,37.07,8.00,0.00,45.07,,,,Credit,CYrMnYjndHggX
4,4/22/26 6:21 PM,311.04,0.00,57.50,368.54,,,,Credit,nhMcgbypsWLKy
7,4/22/26 7:10 PM,107.64,22.00,0.00,129.64,,,,Credit,nfqFfTsPcLwCN
9,4/22/26 7:14 PM,86.00,17.00,0.00,103.00,,,,Credit,NjRJKKczf7fTm
8,4/22/26 7:12 PM,102.24,0.00,0.00,102.24,,,,Credit,fcftxwmsdmrJY
8,4/22/26 7:12 PM,44.37,7.00,0.00,51.37,,,,Credit,dCJgHCYdxmqHP
10,4/22/26 7:22 PM,82.78,18.00,0.00,100.78,,,,Credit,kwNWMXTXgmFpL
2,4/23/26 6:12 PM,90.35,12.53,0.00,102.88,,,,Credit,KgrLKJsjWk7Jq
1,4/23/26 6:11 PM,37.89,3.71,0.00,41.60,,,,Credit,HhYKkN9LHkHXn
1,4/23/26 6:11 PM,51.40,5.00,0.00,56.40,,,,Credit,zMLmqpCLhThWX
2,4/23/26 6:12 PM,90.35,12.53,0.00,102.88,,,,Credit,XTLCWpfzTPrdz
3,4/23/26 6:43 PM,111.98,21.00,0.00,132.98,,,,Credit,JxCHTRLqJthxK
2,4/24/26 6:00 PM,81.16,10.00,0.00,91.16,,,,Credit,RkcRTchxy9jzP
1,4/24/26 5:44 PM,79.54,16.00,0.00,95.54,,,,Credit,hcgykMWxhK7tz
3,4/24/26 6:07 PM,76.28,15.00,0.00,91.28,,,,Credit,CHMpKfykHLHqH
5,4/24/26 6:21 PM,83.87,13.00,0.00,96.87,,,,Credit,LpkhzWdkrmtzw
4,4/24/26 6:18 PM,67.08,0.00,12.40,79.48,,,,Credit,jsK9jWtccf7Pp
4,4/24/26 6:18 PM,63.31,0.00,11.70,75.01,,,,Credit,RLsgcKTtNzbcj
4,4/24/26 6:18 PM,33.54,0.00,6.20,39.74,,,,Credit,sWtCfXwLYJHyq
6,4/24/26 6:36 PM,96.86,23.14,0.00,120.00,,,,Credit,Mtf9NxmmLqMLH
8,4/24/26 6:51 PM,77.91,14.40,0.00,92.31,,,,Credit,ycJnhtMjxhcLf
9,4/24/26 6:51 PM,96.96,19.39,0.00,116.35,,,,Credit,spPhg9WrsCWgr
11,4/24/26 6:55 PM,62.75,10.00,0.00,72.75,,,,Credit,cRtLwjNzhLmmc
13,4/24/26 7:07 PM,29.30,7.00,0.00,36.30,,,,Credit,7jPwfbcWzTnLX
13,4/24/26 7:07 PM,29.31,6.00,0.00,35.31,,,,Credit,cC7gcwtbCRbyb
10,4/24/26 6:54 PM,115.24,25.00,0.00,140.24,,,,Credit,9LbhnMcrhwMLd
12,4/24/26 7:01 PM,77.91,16.00,0.00,93.91,,,,Credit,dTznRxpNWCjmj
16,4/24/26 7:16 PM,54.92,11.00,0.00,65.92,,,,Credit,PzMMgXPpYzhMz
16,4/24/26 7:16 PM,54.92,0.00,0.00,54.92,,,,Credit,hkhgN7CYKgXRJ
18,4/24/26 7:33 PM,117.94,24.00,0.00,141.94,,,,Credit,XgYLKmLYWJzpx
17,4/24/26 7:33 PM,276.98,65.00,51.20,393.18,,,,Credit,FmLdMNRYMbpdj
20,4/24/26 8:25 PM,68.17,10.00,0.00,78.17,,,,Credit,YpyHjRdmPsrTT
21,4/24/26 8:33 PM,101.25,0.00,0.00,101.25,"RestaurantUser [id=1300000001079863856, user email = 42c2c45d-b6f4-462b-b562-8ca9e5317a82@example.com]","RestaurantUser [id=1300000001079863856, user email = 42c2c45d-b6f4-462b-b562-8ca9e5317a82@example.com]",4/24/2026 9:18 PM,Credit,jRNTWtgfrbwss
21,4/24/26 8:33 PM,78.55,16.00,0.00,94.55,,,,Credit,PbYdrPH9Kzsqb
22,4/24/26 9:10 PM,0.05,0.00,0.00,0.05,,,,Credit,ywNRrW9MzTHKX
22,4/24/26 9:10 PM,123.83,25.12,0.00,148.95,,,,Credit,TcNztkKwLtxYs
1,4/25/26 5:06 PM,112.06,22.00,0.00,134.06,,,,Credit,m779skbk7NwYF
2,4/25/26 5:09 PM,37.31,9.00,0.00,46.31,,,,Credit,JmwfMbmWP9zth
4,4/25/26 5:15 PM,74.12,15.00,0.00,89.12,,,,Credit,ffHCggHbLNcxg
3,4/25/26 5:11 PM,128.21,26.79,0.00,155.00,,,,Credit,KwLYkFdJm7PJg
5,4/25/26 5:32 PM,117.47,25.00,0.00,142.47,,,,Credit,HNqzHMPzFsdq7
6,4/25/26 6:32 PM,150.60,30.00,0.00,180.60,,,,Credit,nYkMbxdfgkqPb
8,4/25/26 6:49 PM,78.98,0.00,0.00,78.98,,,,Credit,Cryr7FKFCbNFx
7,4/25/26 6:42 PM,102.25,20.00,0.00,122.25,,,,Credit,MRMRcjrPHzRRj
9,4/25/26 7:06 PM,49.66,11.00,0.00,60.66,,,,Credit,MrgYybsWty9ww
11,4/25/26 7:18 PM,71.41,8.59,0.00,80.00,,,,Credit,qc7kpbJqggKqX
10,4/25/26 7:12 PM,70.49,14.00,0.00,84.49,,,,Credit,YnpXRnxhJbFKP
10,4/25/26 7:12 PM,70.87,14.00,0.00,84.87,,,,Credit,ztRqTwFzXJ9Jw
1,4/26/26 5:06 PM,304.63,0.00,56.32,360.95,,,,Credit,WK7KwCwWrjY9W
3,4/26/26 5:56 PM,101.36,18.74,0.00,120.10,,,,Credit,bWpNkyKPNcHYN
4,4/26/26 5:58 PM,27.05,3.00,0.00,30.05,,,,Credit,nMkzKKc7CtdxM
4,4/26/26 5:58 PM,40.03,10.00,0.00,50.03,,,,Credit,fmhpNnmxR7mbm
2,4/26/26 5:43 PM,149.80,23.00,0.00,172.80,,,,Credit,pbbgYdYrdrMzX
5,4/26/26 6:24 PM,129.28,20.00,0.00,149.28,,,,Credit,kLdHtKHCpW7MH
6,4/26/26 6:34 PM,30.29,4.50,0.00,34.79,,,,Credit,Ldc9YjFLmzzJX
